Dataset Name,Image Name,Source Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Developmental Stage],Protocol REF,Experimental Condition [Antibody 1],Antibody Identifier 1,Comment [Antibody 1],Experimental Condition [Antibody 2],Antibody Identifier 2,Comment [Antibody 2],Experimental Condition [Antibody 3],Antibody Identifier 3,Comment [Antibody 3],Comment [Probe],Comment [Gene Identifier 1],Comment [Gene Symbol 1],Comment [Gene Identifier 2],Comment [Gene Symbol 2],Comment [Gene Identifier 3],Comment [Gene Symbol 3],Comment [Image File Path],Comment [Image File Comments],Channels,Processed Data File,Visualisation Method,Expression Pattern Description
FOXP2_CS23,"11613,1,Embryo,CS23,295_2018-05-14 12_25_07.scn [1]","Embryo 11613, slide 295",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,FOXP2,NM_014491,Santa Cruz Sc-517261,,,,,,,,ENSG00000128573,FOXP2,,,,,"FOXP2_CS23\11613,1,Embryo,CS23,295_2018-05-14 12_25_07.scn [1]",,,,DAB,"Head mesenchyme, hypothalamus, diencephalon, mesencephalon, metencephalon (strong)"
FOXP2_CS23,"11613,1,Embryo,CS23,295_2018-05-14 12_25_07.scn [macro]","Embryo 11613, slide 295",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,FOXP2,NM_014491,Santa Cruz Sc-517261,,,,,,,,ENSG00000128573,FOXP2,,,,,"FOXP2_CS23\11613,1,Embryo,CS23,295_2018-05-14 12_25_07.scn [macro]",,,,DAB,"Head mesenchyme, hypothalamus, diencephalon, mesencephalon, metencephalon (strong)"
FOXP2_CS23,"11613,1,Embryo,CS23,336_2018-05-14 15_28_36.scn [1]","Embryo 11613, slide 336",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,FOXP2,NM_014491,Santa Cruz Sc-517261,,,,,,,,ENSG00000128573,FOXP2,,,,,"FOXP2_CS23\11613,1,Embryo,CS23,336_2018-05-14 15_28_36.scn [1]",,,,DAB,"Head mesenchyme, hypothalamus, diencephalon, mesencephalon, metencephalon (strong)"
FOXP2_CS23,"11613,1,Embryo,CS23,336_2018-05-14 15_28_36.scn [macro]","Embryo 11613, slide 336",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,FOXP2,NM_014491,Santa Cruz Sc-517261,,,,,,,,ENSG00000128573,FOXP2,,,,,"FOXP2_CS23\11613,1,Embryo,CS23,336_2018-05-14 15_28_36.scn [macro]",,,,DAB,"Head mesenchyme, hypothalamus, diencephalon, mesencephalon, metencephalon (strong)"
FOXP2_CS23,"12204,1,Head,CS23,76_FOXP2.ome.tiff","Embryo 12204, slide 76",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,FOXP2,NM_014491,Santa Cruz Sc-517261,,,,,,,,ENSG00000128573,FOXP2,,,,,"FOXP2_CS23\12204,1,Head,CS23,76_FOXP2.ome.tiff",,,,DAB,"Telencephalon, subpallium, hypothalamus, mesencephalon (strong)"
FOXP2_CS23,"12204,1,Head,CS23,82_FOXP2.ome.tiff","Embryo 12204, slide 82",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,FOXP2,NM_014491,Santa Cruz Sc-517261,,,,,,,,ENSG00000128573,FOXP2,,,,,"FOXP2_CS23\12204,1,Head,CS23,82_FOXP2.ome.tiff",,,,DAB,"Telencephalon, subpallium, hypothalamus, mesencephalon (moderate)"
FOXP2_CS23,"12602,1,head,CS23,125_FOXP2.ome.tiff","Embryo 12602, slide 125",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,FOXP2,NM_014491,Santa Cruz Sc-517261,,,,,,,,ENSG00000128573,FOXP2,,,,,"FOXP2_CS23\12602,1,head,CS23,125_FOXP2.ome.tiff",,,,DAB,"Head mesenchyme, telencephalon, subpallium, hypothalamus, diencephalon (strong)"
FOXP2_CS23,"12602,1,head,CS23,157_FOXP2.ome.tiff","Embryo 12602, slide 157",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,FOXP2,NM_014491,Santa Cruz Sc-517261,,,,,,,,ENSG00000128573,FOXP2,,,,,"FOXP2_CS23\12602,1,head,CS23,157_FOXP2.ome.tiff",,,,DAB,"Head mesenchyme, telencephalon, subpallium, hypothalamus, diencephalon (strong)"
FOXP2_CS23,"12602,1,head,CS23,177_FOXP2.ome.tiff","Embryo 12602, slide 177",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,FOXP2,NM_014491,Santa Cruz Sc-517261,,,,,,,,ENSG00000128573,FOXP2,,,,,"FOXP2_CS23\12602,1,head,CS23,177_FOXP2.ome.tiff",,,,DAB,"Head mesenchyme, hypothalamus, diencephalon (strong)"
FOXP2_CS23,"12602,1,head,CS23,209_FOXP2.ome.tiff","Embryo 12602, slide 209",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,FOXP2,NM_014491,Santa Cruz Sc-517261,,,,,,,,ENSG00000128573,FOXP2,,,,,"FOXP2_CS23\12602,1,head,CS23,209_FOXP2.ome.tiff",,,,DAB,"Head mesenchyme, hypothalamus, diencephalon, metencephalon (strong)"
FOXP2_CS23,"12602,1,head,CS23,220_FOXP2.ome.tiff","Embryo 12602, slide 220",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,FOXP2,NM_014491,Santa Cruz Sc-517261,,,,,,,,ENSG00000128573,FOXP2,,,,,"FOXP2_CS23\12602,1,head,CS23,220_FOXP2.ome.tiff",,,,DAB,"Head mesenchyme, hypothalamus, diencephalon, metencephalon, raphe nuclei, myelencephalon (strong)"
FOXP2_CS23,3DView.avi,3D View,Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,FOXP2,NM_014491,Santa Cruz Sc-517261,,,,,,,,ENSG00000128573,FOXP2,,,,,FOXP2_CS23\3DView.avi,3D movie of data mapped into a CS23 model. Red = strong expression.,,Red = strong expression.,,
FOXP2_CS23,3DView.jpg,3D View,Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,FOXP2,NM_014491,Santa Cruz Sc-517261,,,,,,,,ENSG00000128573,FOXP2,,,,,FOXP2_CS23\3DView.jpg,3D view of data mapped into a CS23 model. Red = strong expression.,,Red = strong expression.,,
GAD1_10PCW,"13341,1,Brain,10pcw,142_GAD67.ome.tiff","Fetal brain 13341, slide 142",Homo sapiens,NCBITaxon,9606,10PCW,Immunohistochemistry,GAD67,NM_000817,Millipore MAB5406,,,,,,,,ENSG00000128683,GAD1,,,,,"GAD1_10pcw\13341,1,Brain,10pcw,142_GAD67.ome.tiff",,,,DAB,"Telencephalon, subpallium (strong)"
GAD1_CS23,"12506,5,R hemi,CS23,33_GAD67.ome.tiff","Embryonic brain 12506, slide 33",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,GAD67,NM_000817,Millipore MAB5406,,,,,,,,ENSG00000128683,GAD1,,,,,"GAD1_CS23\12506,5,R hemi,CS23,33_GAD67.ome.tiff",,,,DAB,"Telencephalon, subpallium, diencephalon, mesencephalon, metencephalon (strong)"
GAD1_CS23,"12602,1,head,CS23,72_GAD67.ome.tiff","Embryo 12602, slide 72",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,GAD67,NM_000817,Millipore MAB5406,,,,,,,,ENSG00000128683,GAD1,,,,,"GAD1_CS23\12602,1,head,CS23,72_GAD67.ome.tiff",,,,DAB,"Telencephalon, subpallium (strong)"
GAD1_CS23,"12602,1,head,CS23,99_GAD67.ome.tiff","Embryo 12602, slide 99",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,GAD67,NM_000817,Millipore MAB5406,,,,,,,,ENSG00000128683,GAD1,,,,,"GAD1_CS23\12602,1,head,CS23,99_GAD67.ome.tiff",,,,DAB,"Telencephalon, subpallium (strong)"
GAP43_10PCW,"2036,5,Brain Slice 2,10pcw,25_2015-12-15 16_09_26.scn [3]","Fetal brain 2036, slide 25",Homo sapiens,NCBITaxon,9606,10PCW,Immunohistochemistry,GAP43,NM_002045,Sigma G9264,,,,,,,,ENSG00000172020,GAP43,,,,,"GAP43_10pcw\2036,5,Brain Slice 2,10pcw,25_2015-12-15 16_09_26.scn [3]",,,,DAB,"Telencephalon, pallium, subpallium, hypothalamus (strong)"
GAP43_10PCW,"2036,5,Brain Slice 2,10pcw,25_2015-12-15 16_09_26.scn [2]","Fetal brain 2036, slide 25",Homo sapiens,NCBITaxon,9606,10PCW,Immunohistochemistry,GAP43,NM_002045,Sigma G9264,,,,,,,,ENSG00000172020,GAP43,,,,,"GAP43_10pcw\2036,5,Brain Slice 2,10pcw,25_2015-12-15 16_09_26.scn [2]",,,,DAB,"Telencephalon, pallium, subpallium, hypothalamus (strong)"
GAP43_10PCW,"2036,5,Brain Slice 2,10pcw,25_2015-12-15 16_09_26.scn [1]","Fetal brain 2036, slide 25",Homo sapiens,NCBITaxon,9606,10PCW,Immunohistochemistry,GAP43,NM_002045,Sigma G9264,,,,,,,,ENSG00000172020,GAP43,,,,,"GAP43_10pcw\2036,5,Brain Slice 2,10pcw,25_2015-12-15 16_09_26.scn [1]",,,,DAB,"Telencephalon, pallium, subpallium, hypothalamus (strong)"
GAP43_10PCW,"2036,5,Brain Slice 2,10pcw,25_2015-12-15 16_09_26.scn [macro]","Fetal brain 2036, slide 25",Homo sapiens,NCBITaxon,9606,10PCW,Immunohistochemistry,GAP43,NM_002045,Sigma G9264,,,,,,,,ENSG00000172020,GAP43,,,,,"GAP43_10pcw\2036,5,Brain Slice 2,10pcw,25_2015-12-15 16_09_26.scn [macro]",,,,DAB,"Telencephalon, pallium, subpallium, hypothalamus (strong)"
GAP43_10PCW,"2036,6,Brain Slice 3,10pcw,15_2015-12-15 17_30_06.scn [3]","Fetal brain 2036, slide 15",Homo sapiens,NCBITaxon,9606,10PCW,Immunohistochemistry,GAP43,NM_002045,Sigma G9264,,,,,,,,ENSG00000172020,GAP43,,,,,"GAP43_10pcw\2036,6,Brain Slice 3,10pcw,15_2015-12-15 17_30_06.scn [3]",,,,DAB,"Telencephalon, pallium, hypothalamus, mesencephalon (strong)"
GAP43_10PCW,"2036,6,Brain Slice 3,10pcw,15_2015-12-15 17_30_06.scn [2]","Fetal brain 2036, slide 15",Homo sapiens,NCBITaxon,9606,10PCW,Immunohistochemistry,GAP43,NM_002045,Sigma G9264,,,,,,,,ENSG00000172020,GAP43,,,,,"GAP43_10pcw\2036,6,Brain Slice 3,10pcw,15_2015-12-15 17_30_06.scn [2]",,,,DAB,"Telencephalon, pallium, hypothalamus, mesencephalon (strong)"
GAP43_10PCW,"2036,6,Brain Slice 3,10pcw,15_2015-12-15 17_30_06.scn [1]","Fetal brain 2036, slide 15",Homo sapiens,NCBITaxon,9606,10PCW,Immunohistochemistry,GAP43,NM_002045,Sigma G9264,,,,,,,,ENSG00000172020,GAP43,,,,,"GAP43_10pcw\2036,6,Brain Slice 3,10pcw,15_2015-12-15 17_30_06.scn [1]",,,,DAB,"Telencephalon, pallium, hypothalamus, mesencephalon (strong)"
GAP43_10PCW,"2036,6,Brain Slice 3,10pcw,15_2015-12-15 17_30_06.scn [macro]","Fetal brain 2036, slide 15",Homo sapiens,NCBITaxon,9606,10PCW,Immunohistochemistry,GAP43,NM_002045,Sigma G9264,,,,,,,,ENSG00000172020,GAP43,,,,,"GAP43_10pcw\2036,6,Brain Slice 3,10pcw,15_2015-12-15 17_30_06.scn [macro]",,,,DAB,"Telencephalon, pallium, hypothalamus, mesencephalon (strong)"
GAP43_CS15,Autotest_0000007674_GAP43.ome.tiff,"Embryo 1459, slide 23",Homo sapiens,NCBITaxon,9606,CS15,Immunohistochemistry,GAP43,NM_002045,Sigma G9264,,,,,,,,ENSG00000172020,GAP43,,,,,GAP43_CS15\Autotest_0000007674_GAP43.ome.tiff,,,,DAB,"Rhombencephalon, vagus nerve (strong)"
GAP43_CS15,ImageCollection_0000005367_GAP43.ome.tiff,"Embryo 1459, slide 21",Homo sapiens,NCBITaxon,9606,CS15,Immunohistochemistry,GAP43,NM_002045,Sigma G9264,,,,,,,,ENSG00000172020,GAP43,,,,,GAP43_CS15\ImageCollection_0000005367_GAP43.ome.tiff,,,,DAB,"Rhombencephalon, vagus nerve (strong)"
GAP43_CS15,ImageCollection_0000005368_GAP43.ome.tiff,"Embryo 1459, slide 27",Homo sapiens,NCBITaxon,9606,CS15,Immunohistochemistry,GAP43,NM_002045,Sigma G9264,,,,,,,,ENSG00000172020,GAP43,,,,,GAP43_CS15\ImageCollection_0000005368_GAP43.ome.tiff,,,,DAB,"Rhombencephalon, vestibulocochlear nerve, vagus nerve, spinal nerve (strong)"
GAP43_CS15,ImageCollection_0000005369_GAP43.ome.tiff,"Embryo 1459, slide 53",Homo sapiens,NCBITaxon,9606,CS15,Immunohistochemistry,GAP43,NM_002045,Sigma G9264,,,,,,,,ENSG00000172020,GAP43,,,,,GAP43_CS15\ImageCollection_0000005369_GAP43.ome.tiff,,,,DAB,"Spinal nerve, vagus nerve (strong)"
GAP43_CS15,ImageCollection_0000005370_GAP43.ome.tiff,"Embryo 1459, slide 125",Homo sapiens,NCBITaxon,9606,CS15,Immunohistochemistry,GAP43,NM_002045,Sigma G9264,,,,,,,,ENSG00000172020,GAP43,,,,,GAP43_CS15\ImageCollection_0000005370_GAP43.ome.tiff,,,,DAB,Nerves (strong)
GAP43_CS15,ImageCollection_0000005371_GAP43.ome.tiff,"Embryo 1459, slide 78",Homo sapiens,NCBITaxon,9606,CS15,Immunohistochemistry,GAP43,NM_002045,Sigma G9264,,,,,,,,ENSG00000172020,GAP43,,,,,GAP43_CS15\ImageCollection_0000005371_GAP43.ome.tiff,,,,DAB,"Spinal nerve, vagus nerve, brachial plexus (moderate)"
GAP43_CS15,ImageCollection_0000005372_GAP43.ome.tiff,"Embryo 1459, slide 66",Homo sapiens,NCBITaxon,9606,CS15,Immunohistochemistry,GAP43,NM_002045,Sigma G9264,,,,,,,,ENSG00000172020,GAP43,,,,,GAP43_CS15\ImageCollection_0000005372_GAP43.ome.tiff,,,,DAB,"Spinal nerve, vagus nerve (strong)"
GAP43_CS15,"N1459,0,whole,CS15,18_GAP43.ome.tiff","Embryo N1459, slide 18",Homo sapiens,NCBITaxon,9606,CS15,Immunohistochemistry,GAP43,NM_002045,Sigma G9264,,,,,,,,ENSG00000172020,GAP43,,,,,"GAP43_CS15\N1459,0,whole,CS15,18_GAP43.ome.tiff",,,,DAB,"Rhombencephalon, vagus nerve (strong)"
GAP43_CS23,"11557,3,Head,CS23,113_GAP43.ome.tiff","Embryo 11557, slide 113",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,GAP43,NM_002045,Sigma G9264,,,,,,,,ENSG00000172020,GAP43,,,,,"GAP43_CS23\11557,3,Head,CS23,113_GAP43.ome.tiff",,,,DAB,"Telencephalon, pallium, subpallium, diencephalon, mesencephalon (strong)"
GAP43_CS23,"11557,3,Head,CS23,125_2015-12-15 15_43_09.ome.tiff","Embryo 11557, slide 125",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,GAP43,NM_002045,Sigma G9264,,,,,,,,ENSG00000172020,GAP43,,,,,"GAP43_CS23\11557,3,Head,CS23,125_2015-12-15 15_43_09.ome.tiff",,,,DAB,"Telencephalon, pallium, subpallium, septum, diencephalon, mesencephalon (strong)"
GAP43_CS23,"11557,3,Head,CS23,165_GAP43.ome.tiff","Embryo 11557, slide 165",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,GAP43,NM_002045,Sigma G9264,,,,,,,,ENSG00000172020,GAP43,,,,,"GAP43_CS23\11557,3,Head,CS23,165_GAP43.ome.tiff",,,,DAB,"Rhombencephalon, hypothalamus, nerves (strong)"
GAP43_CS23,"11557,3,Head,CS23,72_2015-12-15 14_58_04.scn [4]","Embryo 11557, slide 72",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,GAP43,NM_002045,Sigma G9264,,,,,,,,ENSG00000172020,GAP43,,,,,"GAP43_CS23\11557,3,Head,CS23,72_2015-12-15 14_58_04.scn [4]",,,,DAB,"Telencephalon, pallium, diencephalon, mesencephalon (strong)"
GAP43_CS23,"11557,3,Head,CS23,72_2015-12-15 14_58_04.scn [3]","Embryo 11557, slide 72",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,GAP43,NM_002045,Sigma G9264,,,,,,,,ENSG00000172020,GAP43,,,,,"GAP43_CS23\11557,3,Head,CS23,72_2015-12-15 14_58_04.scn [3]",,,,DAB,"Telencephalon, pallium, diencephalon, mesencephalon (strong)"
GAP43_CS23,"11557,3,Head,CS23,72_2015-12-15 14_58_04.scn [2]","Embryo 11557, slide 72",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,GAP43,NM_002045,Sigma G9264,,,,,,,,ENSG00000172020,GAP43,,,,,"GAP43_CS23\11557,3,Head,CS23,72_2015-12-15 14_58_04.scn [2]",,,,DAB,"Telencephalon, pallium, diencephalon, mesencephalon (strong)"
GAP43_CS23,"11557,3,Head,CS23,72_2015-12-15 14_58_04.scn [1]","Embryo 11557, slide 72",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,GAP43,NM_002045,Sigma G9264,,,,,,,,ENSG00000172020,GAP43,,,,,"GAP43_CS23\11557,3,Head,CS23,72_2015-12-15 14_58_04.scn [1]",,,,DAB,"Telencephalon, pallium, diencephalon, mesencephalon (strong)"
GAP43_CS23,"11557,3,Head,CS23,72_2015-12-15 14_58_04.scn [macro]","Embryo 11557, slide 72",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,GAP43,NM_002045,Sigma G9264,,,,,,,,ENSG00000172020,GAP43,,,,,"GAP43_CS23\11557,3,Head,CS23,72_2015-12-15 14_58_04.scn [macro]",,,,DAB,"Telencephalon, pallium, diencephalon, mesencephalon (strong)"
GAP43_CS23,11751_55_CS23_GAP43.scn [3],"Embryo 11751, slide 43",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,GAP43,NM_002045,Sigma G9264,,,,,,,,ENSG00000172020,GAP43,,,,,GAP43_CS23\11751_55_CS23_GAP43.scn [3],,,,DAB,"Telencephalon, pallium, subpallium, mesencephalon, rhombencephalon, eye, nerves (strong)"
GAP43_CS23,11751_55_CS23_GAP43.scn [2],"Embryo 11751, slide 43",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,GAP43,NM_002045,Sigma G9264,,,,,,,,ENSG00000172020,GAP43,,,,,GAP43_CS23\11751_55_CS23_GAP43.scn [2],,,,DAB,"Telencephalon, pallium, subpallium, mesencephalon, rhombencephalon, eye, nerves (strong)"
GAP43_CS23,11751_55_CS23_GAP43.scn [1],"Embryo 11751, slide 43",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,GAP43,NM_002045,Sigma G9264,,,,,,,,ENSG00000172020,GAP43,,,,,GAP43_CS23\11751_55_CS23_GAP43.scn [1],,,,DAB,"Telencephalon, pallium, subpallium, mesencephalon, rhombencephalon, eye, nerves (strong)"
GAP43_CS23,11751_55_CS23_GAP43.scn [macro],"Embryo 11751, slide 43",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,GAP43,NM_002045,Sigma G9264,,,,,,,,ENSG00000172020,GAP43,,,,,GAP43_CS23\11751_55_CS23_GAP43.scn [macro],,,,DAB,"Telencephalon, pallium, subpallium, mesencephalon, rhombencephalon, eye, nerves (strong)"
GAP43_CS23,"12204,1,Head,CS23,91_GAP43.ome.tiff","Embryo 12204, slide 91",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,GAP43,NM_002045,Sigma G9264,,,,,,,,ENSG00000172020,GAP43,,,,,"GAP43_CS23\12204,1,Head,CS23,91_GAP43.ome.tiff",,,,DAB,"Telencephalon, pallium, subpallium, mesencephalon (strong)"
GAP43_CS23,"12780,1,head,CS23,61_GAP43.ome.tiff","Embryo 12780, slide 61",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,GAP43,NM_002045,Sigma G9264,,,,,,,,ENSG00000172020,GAP43,,,,,"GAP43_CS23\12780,1,head,CS23,61_GAP43.ome.tiff",,,,DAB,"Telencephalon, pallium, subpallium, eye, tongue (strong)"
GAP43_CS23,Autotest_0000007664_GAP43.ome.tiff,"Embryo 11557, slide 154",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,GAP43,NM_002045,Sigma G9264,,,,,,,,ENSG00000172020,GAP43,,,,,GAP43_CS23\Autotest_0000007664_GAP43.ome.tiff,,,,DAB,"Telencephalon, pallium, hypothalamus, rhombencephalon (strong)"
GAP43_CS23,Autotest_0000007665_GAP43.ome.tiff,"Embryo 11557, slide 197",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,GAP43,NM_002045,Sigma G9264,,,,,,,,ENSG00000172020,GAP43,,,,,GAP43_CS23\Autotest_0000007665_GAP43.ome.tiff,,,,DAB,"Rhombencephalon, nerves (strong)"
GAP43_CS23,Autotest_0000007666_GAP43.ome.tiff,"Embryo 11557, slide 168",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,GAP43,NM_002045,Sigma G9264,,,,,,,,ENSG00000172020,GAP43,,,,,GAP43_CS23\Autotest_0000007666_GAP43.ome.tiff,,,,DAB,"Rhombencephalon, optic nerve (strong)"
GAP43_CS23,Autotest_0000007667_GAP43.ome.tiff,"Embryo 1975, slide 203",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,GAP43,NM_002045,Sigma G9264,,,,,,,,ENSG00000172020,GAP43,,,,,GAP43_CS23\Autotest_0000007667_GAP43.ome.tiff,,,,DAB,"Rhombencephalon, mesencephalon, nerves (strong)"
GAP43_CS23,Autotest_0000007668_GAP43.ome.tiff,"Embryo 1975, slide 121",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,GAP43,NM_002045,Sigma G9264,,,,,,,,ENSG00000172020,GAP43,,,,,GAP43_CS23\Autotest_0000007668_GAP43.ome.tiff,,,,DAB,"Diencephalon, nerves (strong)"
GAP43_CS23,Autotest_0000007669_GAP43.ome.tiff,"Embryo 11557, slide 130",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,GAP43,NM_002045,Sigma G9264,,,,,,,,ENSG00000172020,GAP43,,,,,GAP43_CS23\Autotest_0000007669_GAP43.ome.tiff,,,,DAB,"Telencephalon, pallium, subpallium, septum, diencephalon, mesencephalon (strong)"
GBX2_10PCW,13081_135_GBX2.scn [1],"Fetal brain 13081, slide 135",Homo sapiens,NCBITaxon,9606,10PCW,Immunohistochemistry,GBX2,NM_001485,Proteintech 21639-1-AP,,,,,,,,ENSG00000168505,GBX2,,,,,GBX2_10pcw\13081_135_GBX2.scn [1],,,,DAB,Diencephalon (strong)
GBX2_10PCW,13081_135_GBX2.scn [macro],"Fetal brain 13081, slide 135",Homo sapiens,NCBITaxon,9606,10PCW,Immunohistochemistry,GBX2,NM_001485,Proteintech 21639-1-AP,,,,,,,,ENSG00000168505,GBX2,,,,,GBX2_10pcw\13081_135_GBX2.scn [macro],,,,DAB,Diencephalon (strong)
GBX2_10PCW,13081_183_GBX2.scn [1],"Fetal brain 13081, slide 183",Homo sapiens,NCBITaxon,9606,10PCW,Immunohistochemistry,GBX2,NM_001485,Proteintech 21639-1-AP,,,,,,,,ENSG00000168505,GBX2,,,,,GBX2_10pcw\13081_183_GBX2.scn [1],,,,DAB,Diencephalon (strong)
GBX2_10PCW,13081_183_GBX2.scn [macro],"Fetal brain 13081, slide 183",Homo sapiens,NCBITaxon,9606,10PCW,Immunohistochemistry,GBX2,NM_001485,Proteintech 21639-1-AP,,,,,,,,ENSG00000168505,GBX2,,,,,GBX2_10pcw\13081_183_GBX2.scn [macro],,,,DAB,Diencephalon (strong)
GBX2_10PCW,"13136,5,Forebrain,10pcw,101_GBX2.ome.tiff","Fetal brain 13136, slide 101",Homo sapiens,NCBITaxon,9606,10PCW,Immunohistochemistry,GBX2,NM_001485,Proteintech 21639-1-AP,,,,,,,,ENSG00000168505,GBX2,,,,,"GBX2_10pcw\13136,5,Forebrain,10pcw,101_GBX2.ome.tiff",,,,DAB,Diencephalon (strong)
GBX2_10PCW,"13136,5,Forebrain,10pcw,111_GBX2.ome.tiff","Fetal brain 13136, slide 111",Homo sapiens,NCBITaxon,9606,10PCW,Immunohistochemistry,GBX2,NM_001485,Proteintech 21639-1-AP,,,,,,,,ENSG00000168505,GBX2,,,,,"GBX2_10pcw\13136,5,Forebrain,10pcw,111_GBX2.ome.tiff",,,,DAB,Diencephalon (strong)
GBX2_10PCW,"13136,5,Forebrain,10pcw,120_GBX2.ome.tiff","Fetal brain 13136, slide 120",Homo sapiens,NCBITaxon,9606,10PCW,Immunohistochemistry,GBX2,NM_001485,Proteintech 21639-1-AP,,,,,,,,ENSG00000168505,GBX2,,,,,"GBX2_10pcw\13136,5,Forebrain,10pcw,120_GBX2.ome.tiff",,,,DAB,Diencephalon (strong)
GBX2_10PCW,"13136,5,Forebrain,10pcw,131_GBX2.ome.tiff","Fetal brain 13136, slide 131",Homo sapiens,NCBITaxon,9606,10PCW,Immunohistochemistry,GBX2,NM_001485,Proteintech 21639-1-AP,,,,,,,,ENSG00000168505,GBX2,,,,,"GBX2_10pcw\13136,5,Forebrain,10pcw,131_GBX2.ome.tiff",,,,DAB,Diencephalon (strong)
GBX2_10PCW,"13136,5,Forebrain,10pcw,88_GBX2.ome.tiff","Fetal brain 13136, slide 88",Homo sapiens,NCBITaxon,9606,10PCW,Immunohistochemistry,GBX2,NM_001485,Proteintech 21639-1-AP,,,,,,,,ENSG00000168505,GBX2,,,,,"GBX2_10pcw\13136,5,Forebrain,10pcw,88_GBX2.ome.tiff",,,,DAB,Diencephalon (strong)
GBX2_10PCW,"13136,5,Forebrain,10pcw,95_GBX2.ome.tiff","Fetal brain 13136, slide 95",Homo sapiens,NCBITaxon,9606,10PCW,Immunohistochemistry,GBX2,NM_001485,Proteintech 21639-1-AP,,,,,,,,ENSG00000168505,GBX2,,,,,"GBX2_10pcw\13136,5,Forebrain,10pcw,95_GBX2.ome.tiff",,,,DAB,Diencephalon (strong)
GBX2_10PCW,Autotest_0000025806_GBX2.tif [macro image],"Fetal brain 13081, slide 145",Homo sapiens,NCBITaxon,9606,10PCW,Immunohistochemistry,GBX2,NM_001485,Proteintech 21639-1-AP,,,,,,,,ENSG00000168505,GBX2,,,,,GBX2_10pcw\Autotest_0000025806_GBX2.tif [macro image],,,,DAB,Diencephalon (strong)
GBX2_10PCW,Autotest_0000025806_GBX2.tif [label image],"Fetal brain 13081, slide 145",Homo sapiens,NCBITaxon,9606,10PCW,Immunohistochemistry,GBX2,NM_001485,Proteintech 21639-1-AP,,,,,,,,ENSG00000168505,GBX2,,,,,GBX2_10pcw\Autotest_0000025806_GBX2.tif [label image],,,,DAB,Diencephalon (strong)
GBX2_10PCW,Autotest_0000025806_GBX2.tif [0],"Fetal brain 13081, slide 145",Homo sapiens,NCBITaxon,9606,10PCW,Immunohistochemistry,GBX2,NM_001485,Proteintech 21639-1-AP,,,,,,,,ENSG00000168505,GBX2,,,,,GBX2_10pcw\Autotest_0000025806_GBX2.tif [0],,,,DAB,Diencephalon (strong)
GBX2_10PCW,Autotest_0000025810_GBX2.ome.tiff,"Fetal brain 13081, slide 175",Homo sapiens,NCBITaxon,9606,10PCW,Immunohistochemistry,GBX2,NM_001485,Proteintech 21639-1-AP,,,,,,,,ENSG00000168505,GBX2,,,,,GBX2_10pcw\Autotest_0000025810_GBX2.ome.tiff,,,,DAB,Diencephalon (strong)
